Language,Sentence
Lower Tanana,"Eya, yozronh"
Lower Tanana,Do’int’a?
Lower Tanana,Taghindenegi’?
Lower Tanana,Tth’ik’w tadhesdenegá.
Lower Tanana,k'otr'ideneyh
Lower Tanana,k'wda dokhwdoldin'
Lower Tanana,k'wda nets'o'
Lower Tanana,k'wda khwdalteyenh
Lower Tanana,k'wda k'otathdoyenh
Tanacross,Nts’é t’ínt’eh?
Tanacross,Tsíná’ęę.
Tanacross,Těyy'. Těyy' u'insi'.
Tanacross,Shaa nsų́ų.
Tanacross,"Nde'. Ndé', shénih."
Tanacross,Xú' ch'e le'.
Tanacross,Súu' de'.
Tanacross,Êy t'ogh.
Tanacross,"Duka'. Duka', ts'udeeł."
Tanacross,E̋na'.
Tlingit,Ch'a keetáanáx!
Tlingit,"Yan tután, aagáa yéi kgwatee."
Tlingit,Du káa yan xwaagíx'.
Tlingit,Ch'a aadé yéi kkwa.oo.
Tlingit,"Góok, yagaxtoodláak!"
Tlingit,Kushtuyáx déi.
Tlingit,Haa yátx'u ée!
Tlingit,Sh eelk'átl'!
Tlingit,Déi áwé!
Tlingit,Yan tugaxtootáan.
Tsimshian,Ama sah gya'wn.
Tsimshian,Ndeeya wila waan?
Tsimshian,Naayu waan?
Tsimshian,Aam nwil k'a txal 'waan.
Tsimshian,Ni'nii gan hawm da.
Tsimshian,Ndm al dyuk niidzn.
Tsimshian,Gilks amaniisgn.
Tsimshian,Wilaaynii Sm'algya̱x?
Tsimshian,"Oo, ts'uusgm wilaayu."
Tsimshian,Si'pn nuut nuun.
Upper Kuskokwim,Yuh di’onh ti łonh kayih hulanh hw dotron’ k’onat’oh łingoldraye eko.
Upper Kuskokwim,Yodigw kayih hulanh di łonh doyonh zido.
Upper Kuskokwim,Ditsi’a di’ił lido łonh hine’edosh ts’ihik’at kwl henh.
Upper Kuskokwim,Yugh’od hits’inh łonh chela ena ey ne’edał edinh hi’ił ne’eyosh ts’ih k’at kwl.
Upper Kuskokwim,Do’ent’a?
Upper Kuskokwim,Si’it huztsunh
Upper Kuskokwim,Aha
Upper Kuskokwim,No'
Upper Kuskokwim,One'
Upper Kuskokwim,Dina dineje izdlan.
Upper Tanana,Nshah shiit įįdah.
Upper Tanana,Łii k’analta’
Upper Tanana,Diichąą ts’ą’ diik’analta’
Upper Tanana,Tsǫǫ’ tlih ts’ą’ tlanalt’e’
Upper Tanana,Hǫǫsǫǫ ts’ą’ naa’nįį’tii’thät
Upper Tanana,Nän’ k’it naatįįdak.
Upper Tanana,Nahnòh łihxah daltsįį’
Upper Tanana,Diik’aanilta’
Upper Tanana,Nła’ naa’įįch’òt
Upper Tanana,Nahnòo’ hǫǫsǫǫ ts’ą’ įįhaal
Central Alaskan Yup'ik,cama-i
Central Alaskan Yup'ik,waqaa
Central Alaskan Yup'ik,piura
Central Alaskan Yup'ik,quyana
Central Alaskan Yup'ik,quyana tailuci
Central Alaskan Yup'ik,Alussistuaqegcikici
Central Alaskan Yup'ik,cangacit?
Central Alaskan Yup'ik,Waqaa
Central Alaskan Yup'ik,Assirtua
Central Alaskan Yup'ik,Taiqaa
Siberian Yupik,natesiin?
Siberian Yupik,esghaghlleqamken
Siberian Yupik,igamsiqanaghhalek
Siberian Yupik,quyanaghhalek tagilusi
Siberian Yupik,Quyanaghhalek Kuusmemi
Siberian Yupik,neghyaghtughyugumayaghpetaallu
Siberian Yupik,iitghesqesaghiisqaa
Siberian Yupik,pinitungwaaghwaaq
Siberian Yupik,aananiitkaa
Siberian Yupik,aanutkenanighaa
